rate,review_text,review_title,source_url,stay_info,trip_type,writer,writer_informations,writer_link,writing_date
3.0,"We visited this small garden in Marrakech after having visited several others in the area. It was expensive and we had a timed ticket which we bought on line the previous week and the site wouldn't let us buy tickets to the 2 museums as it said there were none left. On arrival we asked about museum tickets and they were available -lots of people buying them. The gardens them selves are in majorelle blue which is the garden's distinctive feature, however the gazebos were full of people queuing to have their photographs taken with views of the various water features. There is little underplanting of the various palms and little originality in any feature. The bamboo were fine. The over crowding is due to bus tours coming in from all of Morocco.",Over Rated Garden,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Feb 2020,,Ethelberga H,"Grantham, UK,646 contributions",,"Written February 15, 2020"
3.0,"This is quite a nice garden on a property once owned by Yves St Laurent. Long queues to get in, but if you go down to the YSL museum and buy a combo ticket the queue is much shorter and you then get to walk straight into the gardens and Berber Museum without the wait. The Berber Museum is well worth it. There are some wonderful artifacts there and a lot of interesting historical information.  The lighting is very poor, so if you want to read the info sheets take your best reading glasses. The YSL Museum is a waste of money unless you like modern art. There are a range of YSL dresses and accessories to look at.  I’m not into that sort of thing so didn’t spend more than 10 mins there. The gardens are peaceful and a nice chance to sit away from the crowds of the Medina.   You don’t need more than an hour to do all three. Total cost on the combo ticket is 180 dirhams. I don’t think the whole gardens/museum complex is worth queueing an hour for though.  If you are short of time you won’t really be missing anything spectacular. It’s a pity it’s not just possible to see the Berber Museum by itself, as that was the best bit.",Quieter area,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jan 2020 • Solo,,Joanne S,"Perth, Australia,102 contributions",,"Written January 6, 2020"
4.0,Avoid the queue by buying the combined ticket from the YSL museum (it's not a big museum you're basically paying extra to avoid the queue). The gardens were bigger than I was expecting and they're well cared for with that beautiful blue building which now houses the Berber museum (again not big but with an interesting design especially the jewellery room). Interesting place with a visit.,A beautiful garden,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Feb 2020 • Friends,,Natasha O,"London, UK,28 contributions",,"Written March 3, 2020"
3.0,The garden itself is lovely and very beautiful. However be warned that the gardens are very busy and the atmosphere is ruined by a mob of tourists taking selfies and queuing for an opportunity for photos at the best spots. I would suggest arriving early and buying the combo ticket with YSL museum to save money and avoid queuing for tickets.,Lovely garden but busy,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Nov 2019,,AndyJackson88,"Aberdeen, UK,87 contributions",,"Written February 9, 2020"
4.0,"One definitely feels transported out of Marrakech into glorious green gardins when walking through the Jardin Majorelle, which hosts some unique looking trees, and plants. This is a nice way to spend a morning or afternoon though I do not know how much entrance cost because it was included in our tour. If the entrance fee is hefty... one might wish to reconsider unless they truly have an interest in this type of attraction. There are parks and gardens in every city and I would think a traveler might be more interested in the more unique aspects of this city especially if the price tag is heavy.  With that said... it was a lovely way to spend an hour or two.",Interesting / Unique,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Dec 2019,,BJB,11 contributions,,"Written January 10, 2020"
5.0,Get here around 8:30 and it is nearly deserted otherwise it gets extremely busy. Queues to get entrance tickets get very long from about 10;00 onward and seemed slow ro clear so we gave up on our first attempt to visit. If you like gardens this is a peach.,Lovely,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Nov 2019,,"Salisbury,UK",6 contributions,,"Written February 10, 2020"
5.0,"We escaped to this oasis on a hot afternoon in June. Really liked the fact that you could get a combination ticket for the Yves Saint-Laurent museum, gardens and Berber Museum, and we spent a couple of hours exploring it all (and you could easily spend more time in the garden). Loved the water features and the walking paths. Read a bit about the history of Majorelle (and YSL and Bergé for a full appreciation). Would definitely return on future visits to Marrakech. BONTAKS TRAVELS",Lovely oasis in Marrakech,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Jun 2019,,Bontaks,"Sydney, Australia,654 contributions",,"Written January 15, 2020"
5.0,"Not realising that we should have booked in advance before we left the UK, we followed advice to arrive at the garden early - 8.30 a.m. and found only half a dozen people in the queue ahead of us. We were able to wander in peace for an hour before the coaches arrived!  We skipped the crowded cafe (good decision) and headed to the adjacent YSL Museum at around 10.30 and with our combined tickets were able to dodge the already lengthy queue. I can honestly say the Museum blew us away! The design of the building and the way in which  the exhibition of designs, films and biography has been curated was enthralling.  We found the cafe here excellent - smart, quiet, and not as pricey as it looks. Overall, come early; Le Jardin in late February was pleasant but not outstanding (but thank goodness it was saved from the developers) -  Do not miss the YSL museum.",Lovely garden but don't miss the YSL Museum.,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Feb 2020,,"CJ, Devon",2 contributions,,"Written April 17, 2020"
5.0,"Beautiful gardens with stunning colours and a most eclectic mix of plants and trees. Resist the temptation to take photos every 5m and just enjoy the beauty of this garden. Best to arrive early, as once it gets busy, the garden does feel a little crowded. Also, if you weren't able to buy online, the earlier you arrive, the shorter the queue for tickets!! Buy a combined ticket if you can and see the YSL Museum and Berber Museum at the same time - both definitely worth visiting.",Gorgeous! Highly recommended.,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Mar 2020 • Couples,,Rodders916,"Greater London, UK,15 contributions",,"Written March 8, 2020"
5.0,Loved it here. The gardens are well maintained and beautiful. Lots of different plants. There’s a Berber museum inside which was really interesting and you only pay an extra 10 DHM to visit. We didn’t have to queue to get in and this was around 12.30 in the afternoon. Children under 12 are free. Definitely recommend!,Beautiful,https://www.tripadvisor.com/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,Feb 2020 • Family,,Rabia A,14 contributions,,"Written February 23, 2020"
