,attraction,rate,reviews,attraction_url,reviews_url
0,1. Jardin Majorelle,4.5,"51,505",/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html
1,2. Bahia Palace,4.5,"14,543",/Attraction_Review-g293734-d610173-Reviews-Bahia_Palace-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d610173-Reviews-Bahia_Palace-Marrakech_Marrakech_Safi.html
2,3. Jemaa el-Fnaa,4.0,"53,270",/Attraction_Review-g293734-d318047-Reviews-Jemaa_el_Fnaa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d318047-Reviews-Jemaa_el_Fnaa-Marrakech_Marrakech_Safi.html
3,4. Ben Youssef Madrasa,4.5,"9,399",/Attraction_Review-g293734-d308902-Reviews-Ben_Youssef_Madrasa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d308902-Reviews-Ben_Youssef_Madrasa-Marrakech_Marrakech_Safi.html
4,5. Medina of Marrakesh,4.0,"19,196",/Attraction_Review-g293734-d324126-Reviews-Medina_of_Marrakesh-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d324126-Reviews-Medina_of_Marrakesh-Marrakech_Marrakech_Safi.html
5,6. Maison de la Photographie,4.5,"5,258",/Attraction_Review-g293734-d1675171-Reviews-Maison_de_la_Photographie-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d1675171-Reviews-Maison_de_la_Photographie-Marrakech_Marrakech_Safi.html
6,7. Anima André Heller Garden,4.5,811,/Attraction_Review-g293734-d10213421-Reviews-Anima_Andre_Heller_Garden-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d10213421-Reviews-Anima_Andre_Heller_Garden-Marrakech_Marrakech_Safi.html
7,8. Moroccan Active Adventures,5.0,649,/Attraction_Review-g293734-d3227171-Reviews-Moroccan_Active_Adventures-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d3227171-Reviews-Moroccan_Active_Adventures-Marrakech_Marrakech_Safi.html
8,9. Book Desert Tours,5.0,503,/Attraction_Review-g293734-d23972193-Reviews-Book_Desert_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d23972193-Reviews-Book_Desert_Tours-Marrakech_Marrakech_Safi.html
9,10. Moroccan Activities & Sahara Tours,5.0,435,/Attraction_Review-g293734-d10347428-Reviews-Moroccan_Activities_Sahara_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d10347428-Reviews-Moroccan_Activities_Sahara_Tours-Marrakech_Marrakech_Safi.html
10,11. Aromatimri,5.0,162,/Attraction_Review-g293734-d7360713-Reviews-Aromatimri-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d7360713-Reviews-Aromatimri-Marrakech_Marrakech_Safi.html
11,12. Boucharouite Museum,4.5,406,/Attraction_Review-g293734-d6451076-Reviews-Boucharouite_Museum-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d6451076-Reviews-Boucharouite_Museum-Marrakech_Marrakech_Safi.html
12,13. Herbalism Marrakech,5.0,149,/Attraction_Review-g293734-d25386907-Reviews-Herbalism_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d25386907-Reviews-Herbalism_Marrakech-Marrakech_Marrakech_Safi.html
13,14. Morocco Desert Sahara,5.0,132,/Attraction_Review-g293734-d15123726-Reviews-Morocco_Desert_Sahara-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d15123726-Reviews-Morocco_Desert_Sahara-Marrakech_Marrakech_Safi.html
14,15. The Orientalist Museum of Marrakech,4.5,277,/Attraction_Review-g293734-d13543418-Reviews-The_Orientalist_Museum_of_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d13543418-Reviews-The_Orientalist_Museum_of_Marrakech-Marrakech_Marrakech_Safi.html
15,16. Mohammed VI Museum,4.5,154,/Attraction_Review-g293734-d12850102-Reviews-Mohammed_VI_Museum-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d12850102-Reviews-Mohammed_VI_Museum-Marrakech_Marrakech_Safi.html
16,17. EXCURSION FROM MARRAKECH,5.0,105,/Attraction_Review-g293734-d25291790-Reviews-EXCURSION_FROM_MARRAKECH-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d25291790-Reviews-EXCURSION_FROM_MARRAKECH-Marrakech_Marrakech_Safi.html
17,18. Majdoline travel,5.0,84,/Attraction_Review-g293734-d18978339-Reviews-Majdoline_travel-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d18978339-Reviews-Majdoline_travel-Marrakech_Marrakech_Safi.html
18,19. Morocco Excursions,5.0,751,/Attraction_Review-g293734-d6105931-Reviews-Morocco_Excursions-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d6105931-Reviews-Morocco_Excursions-Marrakech_Marrakech_Safi.html
19,20. Hammam Rosa Bonheur,5.0,"2,440",/Attraction_Review-g293734-d5655998-Reviews-Hammam_Rosa_Bonheur-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d5655998-Reviews-Hammam_Rosa_Bonheur-Marrakech_Marrakech_Safi.html
20,21. Assoufid Golf Club,4.5,347,/Attraction_Review-g293734-d2014742-Reviews-Assoufid_Golf_Club-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2014742-Reviews-Assoufid_Golf_Club-Marrakech_Marrakech_Safi.html
21,22. Isis Spa,4.5,"1,805",/Attraction_Review-g293734-d3219834-Reviews-Isis_Spa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d3219834-Reviews-Isis_Spa-Marrakech_Marrakech_Safi.html
22,23. Heritage Spa,4.5,"1,498",/Attraction_Review-g293734-d2476714-Reviews-Heritage_Spa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2476714-Reviews-Heritage_Spa-Marrakech_Marrakech_Safi.html
23,24. Cooking Workshops at La Maison Arabe,5.0,776,/Attraction_Review-g293734-d777146-Reviews-Cooking_Workshops_at_La_Maison_Arabe-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d777146-Reviews-Cooking_Workshops_at_La_Maison_Arabe-Marrakech_Marrakech_Safi.html
24,25. Faim d'Epices,5.0,"2,023",/Attraction_Review-g293734-d1985394-Reviews-Faim_d_Epices-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d1985394-Reviews-Faim_d_Epices-Marrakech_Marrakech_Safi.html
25,26. Mythic Oriental Spa,5.0,"1,035",/Attraction_Review-g293734-d2218243-Reviews-Mythic_Oriental_Spa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2218243-Reviews-Mythic_Oriental_Spa-Marrakech_Marrakech_Safi.html
26,27. Les Bains d'Orient Marrakech,5.0,"1,458",/Attraction_Review-g293734-d8647023-Reviews-Les_Bains_d_Orient_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d8647023-Reviews-Les_Bains_d_Orient_Marrakech-Marrakech_Marrakech_Safi.html
27,28. Alphais Spa,5.0,"1,337",/Attraction_Review-g293734-d11958484-Reviews-Alphais_Spa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d11958484-Reviews-Alphais_Spa-Marrakech_Marrakech_Safi.html
28,29. Carresa Group,5.0,"1,644",/Attraction_Review-g293734-d23405778-Reviews-Carresa_Group-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d23405778-Reviews-Carresa_Group-Marrakech_Marrakech_Safi.html
29,30. Touareg Trails,5.0,134,/Attraction_Review-g293734-d14134671-Reviews-Touareg_Trails-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d14134671-Reviews-Touareg_Trails-Marrakech_Marrakech_Safi.html
30,31. Marajah Spa,5.0,"1,077",/Attraction_Review-g293734-d20867841-Reviews-Marajah_Spa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d20867841-Reviews-Marajah_Spa-Marrakech_Marrakech_Safi.html
31,32. Medina Spa,4.5,"1,138",/Attraction_Review-g293734-d4461502-Reviews-Medina_Spa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d4461502-Reviews-Medina_Spa-Marrakech_Marrakech_Safi.html
32,33. Baan Thai institut,5.0,966,/Attraction_Review-g293734-d2647134-Reviews-Baan_Thai_institut-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2647134-Reviews-Baan_Thai_institut-Marrakech_Marrakech_Safi.html
33,34. le Bain de Kasbah,5.0,862,/Attraction_Review-g293734-d23401169-Reviews-Le_Bain_de_Kasbah-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d23401169-Reviews-Le_Bain_de_Kasbah-Marrakech_Marrakech_Safi.html
34,35. Cooking Class with Chef Khmisa,5.0,956,/Attraction_Review-g293734-d15554488-Reviews-Cooking_Class_with_Chef_Khmisa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d15554488-Reviews-Cooking_Class_with_Chef_Khmisa-Marrakech_Marrakech_Safi.html
35,36. Les Bains d`Azahara,4.5,894,/Attraction_Review-g293734-d3168386-Reviews-Les_Bains_d_Azahara-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d3168386-Reviews-Les_Bains_d_Azahara-Marrakech_Marrakech_Safi.html
36,37. Hammam Mouassine,4.5,671,/Attraction_Review-g293734-d9792402-Reviews-Hammam_Mouassine-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d9792402-Reviews-Hammam_Mouassine-Marrakech_Marrakech_Safi.html
37,38. Fennou Tours Marrakech - Agence deTransport Touristique,5.0,962,/Attraction_Review-g293734-d23604458-Reviews-Fennou_Tours_Marrakech_Agence_deTransport_Touristique-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d23604458-Reviews-Fennou_Tours_Marrakech_Agence_deTransport_Touristique-Marrakech_Marrakech_Safi.html
38,39. Kosyspa,5.0,534,/Attraction_Review-g293734-d7206830-Reviews-Kosyspa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d7206830-Reviews-Kosyspa-Marrakech_Marrakech_Safi.html
39,40. Atelier De Cuisine Chef Tarik Orty-Ct,5.0,600,/Attraction_Review-g293734-d6530897-Reviews-Atelier_De_Cuisine_Chef_Tarik_Orty_Ct-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d6530897-Reviews-Atelier_De_Cuisine_Chef_Tarik_Orty_Ct-Marrakech_Marrakech_Safi.html
40,41. Mor Thai Spa,5.0,326,/Attraction_Review-g293734-d9980774-Reviews-Mor_Thai_Spa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d9980774-Reviews-Mor_Thai_Spa-Marrakech_Marrakech_Safi.html
41,42. Morocco Transfer,5.0,415,/Attraction_Review-g293734-d17333913-Reviews-Morocco_Transfer-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d17333913-Reviews-Morocco_Transfer-Marrakech_Marrakech_Safi.html
42,43. Aux Merveilles de Marrakech,5.0,360,/Attraction_Review-g293734-d7137816-Reviews-Aux_Merveilles_de_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d7137816-Reviews-Aux_Merveilles_de_Marrakech-Marrakech_Marrakech_Safi.html
43,44. Morocco Private Excursion,5.0,327,/Attraction_Review-g293734-d8064226-Reviews-Morocco_Private_Excursion-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d8064226-Reviews-Morocco_Private_Excursion-Marrakech_Marrakech_Safi.html
44,45. Souk Cuisine,4.5,289,/Attraction_Review-g293734-d1014909-Reviews-Souk_Cuisine-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d1014909-Reviews-Souk_Cuisine-Marrakech_Marrakech_Safi.html
45,46. Hammam Paradis,5.0,332,/Attraction_Review-g293734-d12135660-Reviews-Hammam_Paradis-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d12135660-Reviews-Hammam_Paradis-Marrakech_Marrakech_Safi.html
46,47. Tissir Jewellery,5.0,139,/Attraction_Review-g293734-d12937993-Reviews-Tissir_Jewellery-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d12937993-Reviews-Tissir_Jewellery-Marrakech_Marrakech_Safi.html
47,48. Amal Cooking Class,5.0,400,/Attraction_Review-g293734-d8125241-Reviews-Amal_Cooking_Class-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d8125241-Reviews-Amal_Cooking_Class-Marrakech_Marrakech_Safi.html
